area,sex,variable,agegrp
1,合计,11.48,0
1,合计,9.5,1
1,合计,8.11,5
1,合计,9.78,10
1,合计,9.65,15
1,合计,14.78,20
1,合计,34.28,25
1,合计,48.1,30
1,合计,76.1,35
1,合计,127.83,40
1,合计,239.38,45
1,合计,410.23,50
1,合计,408.04,55
1,合计,801.84,60
1,合计,1143.2,65
1,合计,1310.32,70
1,合计,1515.5,75
1,合计,1845.46,80
1,合计,1799.24,85
1,男性,9.42,0
1,男性,10.75,1
1,男性,9.53,5
1,男性,10.75,10
1,男性,10.67,15
1,男性,11.78,20
1,男性,23.96,25
1,男性,33.31,30
1,男性,50.2,35
1,男性,92.77,40
1,男性,177.01,45
1,男性,368.92,50
1,男性,428.03,55
1,男性,934.58,60
1,男性,1408.58,65
1,男性,1649.9,70
1,男性,1942.07,75
1,男性,2333.01,80
1,男性,2457.84,85
1,女性,13.93,0
1,女性,8.02,1
1,女性,6.39,5
1,女性,8.55,10
1,女性,8.41,15
1,女性,18.08,20
1,女性,45.18,25
1,女性,63.84,30
1,女性,103.82,35
1,女性,165.9,40
1,女性,302.79,45
1,女性,451.11,50
1,女性,387.37,55
1,女性,668.13,60
1,女性,868.17,65
1,女性,981.1,70
1,女性,1131.9,75
1,女性,1477.42,80
1,女性,1449.24,85
2,合计,14.29,0
2,合计,8.48,1
2,合计,5.27,5
2,合计,8.35,10
2,合计,8.36,15
2,合计,8.12,20
2,合计,30.84,25
2,合计,47.16,30
2,合计,70.5,35
2,合计,122.01,40
2,合计,229.17,45
2,合计,422.07,50
2,合计,433.16,55
2,合计,791.23,60
2,合计,1103.08,65
2,合计,1242.29,70
2,合计,1424.61,75
2,合计,1948.17,80
2,合计,1950.57,85
2,男性,10.44,0
2,男性,10,1
2,男性,3.74,5
2,男性,8.6,10
2,男性,11.25,15
2,男性,5.98,20
2,男性,21.51,25
2,男性,29.41,30
2,男性,44.62,35
2,男性,92.17,40
2,男性,162.23,45
2,男性,383.29,50
2,男性,473.6,55
2,男性,904.04,60
2,男性,1345.16,65
2,男性,1591.73,70
2,男性,1802.6,75
2,男性,2571.22,80
2,男性,2958.8,85
2,女性,18.86,0
2,女性,6.67,1
2,女性,7.12,5
2,女性,8.05,10
2,女性,4.97,15
2,女性,10.42,20
2,女性,40.2,25
2,女性,64.77,30
2,女性,96.52,35
2,女性,153.39,40
2,女性,297.43,45
2,女性,461.43,50
2,女性,391.54,55
2,女性,678.83,60
2,女性,858.88,65
2,女性,918.36,70
2,女性,1095.93,75
2,女性,1457.45,80
2,女性,1372.37,85
3,合计,10.16,0
3,合计,9.91,1
3,合计,9.23,5
3,合计,10.35,10
3,合计,10.14,15
3,合计,17.28,20
3,合计,35.69,25
3,合计,48.53,30
3,合计,78.85,35
3,合计,130.55,40
3,合计,243.88,45
3,合计,404.83,50
3,合计,397.03,55
3,合计,806.25,60
3,合计,1160.26,65
3,合计,1341.92,70
3,合计,1557.64,75
3,合计,1802.28,80
3,合计,1738.28,85
3,男性,8.94,0
3,男性,11.05,1
3,男性,11.8,5
3,男性,11.6,10
3,男性,10.45,15
3,男性,13.91,20
3,男性,24.92,25
3,男性,35.01,30
3,男性,52.83,35
3,男性,93.04,40
3,男性,183.53,45
3,男性,362.25,50
3,男性,408.12,55
3,男性,947.19,60
3,男性,1435.05,65
3,男性,1676.02,70
3,男性,2005.06,75
3,男性,2229.37,80
3,男性,2241.5,85
3,女性,11.62,0
3,女性,8.56,1
3,女性,6.1,5
3,女性,8.75,10
3,女性,9.75,15
3,女性,21.03,20
3,女性,47.3,25
3,女性,63.4,30
3,女性,107.58,35
3,女性,171.89,40
3,女性,305.15,45
3,女性,446.49,50
3,女性,385.54,55
3,女性,663.65,60
3,女性,872.21,65
3,女性,1011.19,70
3,女性,1148.96,75
3,女性,1485.6,80
3,女性,1479.06,85