时间,题目,讲者,主持人
,会议报到（地点:未来大酒店，时间: 5月10日下午 15:00-18:00）,,
08:20-08:30,领导讲话,河南省癌症中心，河南省肿瘤医院， 河南省卫健委,张韶凯
08:30-08:45,颁奖仪式,出席领导,陈琼
08:50-09:20,大数据赋能的公共卫生监测研究进展,胡晓斌,张韶凯
09:20-09:50,肿瘤登记处的建立与高质量发展,孙喜斌,张韶凯
09:50-10:20,肿瘤登记数据的质量控制,郑荣寿,张韶凯
10:20-10:50,肿瘤登记数据的随访方法及相关要求,李荔,张韶凯
10:50-11:20,肿瘤的分类与编码,刘曙正,陈琼
11:20-11:50,河南省肿瘤登记工作进展情况,张韶凯,陈琼
11:50-12:00,讨论,,
13:30-14:10,河南省2020年肿瘤登记数据质量及上报要求,陈琼,孙喜斌
14:10-14:20,河南省肿瘤登记信息平台介绍,陈琼,孙喜斌
14:20-15:10,河南省肿瘤登记信息平台操作说明,张印,郭兰伟
15:10-15:30,南阳市肿瘤登记数据上报经验介绍,何建磊,郭兰伟
15:30-16:00,肿瘤登记数据分析与利用,刘曙正,徐慧芳
16:00-16:20,医学论文写作规范与投稿流程,康瑞华,徐慧芳
16:20-16:50,论文撰写中的常用统计分析方法及SPSS操作,郭兰伟,徐慧芳
16:50-17:05,三门峡经验分享: 加强数据利用促进癌症防控政策实施,郭振平,陈琼
17:05-17:30,洛阳市经验分享: 多措并举促进肿瘤登记市级全覆盖,闫云燕,陈琼
17:30-17:45,林州市经验分享: 多源报告提升肿瘤登记数据质量,候凯,陈琼
17:45-18:00,讨论,,陈琼
08:30-08:40,郑州市肿瘤登记工作进展及工作计划,郑州市肿瘤登记处,刘曙正
08:40-08:50,开封市肿瘤登记工作进展及工作计划,开封市肿瘤登记处,刘曙正
08:50-09:00,洛阳市肿瘤登记工作进展及工作计划,洛阳市肿瘤登记处,刘曙正
09:00-09:10,平顶山肿瘤登记工作进展及工作计划,平顶山市肿瘤登记处,郭兰伟
09:10-09:20,安阳市肿瘤登记工作进展及工作计划,安阳市肿瘤登记处,郭兰伟
09:20-09:30,鹤壁市肿瘤登记工作进展及工作计划,鹤壁市肿瘤登记处,郭兰伟
09:30-09:40,新乡市肿瘤登记工作进展及工作计划,新乡市肿瘤登记处,徐慧芳
09:40-09:50,焦作市肿瘤登记工作进展及工作计划,焦作市肿瘤登记处,徐慧芳
09:50-10:00,濮阳市肿瘤登记工作进展及工作计划,濮阳市肿瘤登记处,徐慧芳
10:00-10:10,许昌市肿瘤登记工作进展及工作计划,许昌市肿瘤登记处,刘茵
10:10-10:20,漯河市肿瘤登记工作进展及工作计划,漯河市肿瘤登记处,刘茵
10:20-10:30,三门峡市肿瘤登记工作进展及工作计划,三门峡市肿瘤登记处,刘茵
10:30-10:40,南阳市肿瘤登记工作进展及工作计划,南阳市肿瘤登记处,王潇杨
10:40-10:50,商丘市肿瘤登记工作进展及工作计划,商丘市肿瘤登记处,王潇杨
10:50-11:00,信阳市肿瘤登记工作进展及工作计划,信阳市肿瘤登记处,王潇杨
11:00-11:10,周口市肿瘤登记工作进展及工作计划,周口市肿瘤登记处,康瑞华
11:10-11:20,驻马店市肿瘤登记工作进展及工作计划,驻马店市肿瘤登记处,康瑞华
11:20-11:30,济源市肿瘤登记工作进展及工作计划,济源市肿瘤登记处,康瑞华
11:30-11:40,点评与讨论（张韶凯、孙喜斌、刘曙正、陈琼、郭兰伟、徐慧芳、刘茵、王潇杨、康瑞华）,,陈琼
11:40-12:00,会议总结,张韶凯,陈琼
,离会（5月12日下午）,,